"study","group","trial","condition","delay","embed","radius","RR_HR","DET_HR","maxL_HR","L_HR","ENTR_HR","LAM_HR","TT_HR","delay","embed","radius","RR_Resp","DET_Resp","maxL_Resp","L_Resp","ENTR_Resp","LAM_Resp","TT_Resp"
"Study2","10_and_5","v3","Conversation",30,10,2.64562373610073,5.95722107188008,95.0954987857035,181,8.98815596394382,2.60077339352406,96.0665663686065,12.7501349163519,12.5,2,0.408805804177442,4.98414391892461,82.3881248174849,49,3.56503866999574,1.69008973833402,92.8992375704992,5.10855937778122
"Study2","10_and_5","v3","TurnTaking",30,10,2.64562373610073,4.74457963503166,96.8615838744262,111,9.17833582549037,2.70388281992073,98.2753099197527,14.7772349780166,12.5,2,0.408805804177442,4.6246026334913,82.6095859244653,39,3.49400179625353,1.65330268415597,90.7447292583043,4.55242733221732
"Study2","10_and_5","v4","Conversation",30,10,2.64562373610073,2.39269208909352,81.0420041231041,17,3.41836180124224,1.63749148707008,96.620527168311,7.21886818400605,12.5,2,0.408805804177442,4.00295026219877,68.5797520480133,30,2.8870426379463,1.27900533816529,85.6047662855391,3.6372943191125
"Study2","10_and_5","v4","TurnTaking",30,10,2.64562373610073,4.20311017380798,87.6701419814533,29,4.36088814760763,2.04212367912772,95.5451354324933,7.63361239012139,12.5,2,0.408805804177442,3.88505551206619,70.255070030287,35,2.97976452570116,1.31717026961802,85.4843441797903,3.68925684231031
"Study2","10_and_6","v1","Conversation",30,10,2.64562373610073,3.38690920669846,88.6089528948994,79,4.94144307469181,2.19962547815304,90.4177367445792,5.46539595205345,12.5,2,0.408805804177442,4.93563925153405,75.1702746778371,33,3.21298728910082,1.5009351633601,85.3689906451074,3.92308194687087
"Study2","10_and_6","v1","TurnTaking",30,10,2.64562373610073,3.05327205972217,91.4744616094739,87,4.76242865725443,2.16266395847033,92.8209788394132,5.12218419167396,12.5,2,0.408805804177442,4.55682586578902,74.168286159589,35,3.16609991293348,1.4748269752139,81.6378364857324,3.80752387106038
"Study2","10_and_6","v2","Conversation",30,10,2.64562373610073,2.86675588026938,89.7376021630922,22,4.99803200136904,2.15250936852453,96.6908375837277,7.11565856416054,12.5,2,0.408805804177442,4.58895187831957,79.1743571518646,31,3.35132555844912,1.57513225291177,86.1758513032745,3.84732576985413
"Study2","10_and_6","v2","TurnTaking",30,10,2.64562373610073,2.18541029485632,83.9273298872465,22,4.73169346134182,2.14523014759664,94.3562770170188,6.19489282879069,12.5,2,0.408805804177442,4.11230496424052,75.9191662473455,35,3.21194681484422,1.48989668200165,85.9462018029389,3.75477849398264
"Study2","10_and_6","v3","Conversation",30,10,2.64562373610073,3.57247849173372,93.5524434143695,61,7.51942132382085,2.25130002122117,94.676759209034,10.8556081701887,12.5,2,0.408805804177442,5.09765466079701,83.8955472383521,48,3.60658671122876,1.71306617865053,93.9975094256543,5.58056939792501
"Study2","10_and_6","v3","TurnTaking",30,10,2.64562373610073,2.13879226039332,90.6935321129255,81,8.01665453221696,2.53446215724795,91.8538805263266,11.9031354236157,12.5,2,0.408805804177442,4.34092222699202,82.0871525351151,37,3.44070236039148,1.62898875021771,90.9862124964148,4.51471295702373
